Model,Family,Evaluation,Eval World Cup,Train Start,Train End,Eval Start,Eval End,Training Rows,World Cup Training Rows,International Training Rows,Evaluation Matches,Direct Feature Count,Original18 Used Count,Log Loss,Accuracy,Draw Recall
Poisson-draw-inflated,Poisson,CV,2006,1930-07-13,2006-06-08,2006-06-09,2006-07-09,5396,644,4752,64,13,11,0.7793,0.6094,0.0
Poisson-draw-inflated,Poisson,CV,2010,1930-07-13,2010-06-08,2010-06-11,2010-07-11,7414,708,6706,64,13,11,0.8646,0.5469,0.0
Poisson-draw-inflated,Poisson,CV,2014,1930-07-13,2014-06-10,2014-06-12,2014-07-13,10043,772,9271,64,13,11,0.8188,0.6562,0.0
Poisson-draw-inflated,Poisson,CV,2018,1930-07-13,2018-06-12,2018-06-14,2018-07-15,12551,836,11715,64,13,11,0.8661,0.625,0.0
Poisson-draw-inflated,Poisson,Final Test,2022,1930-07-13,2021-12-31,2022-11-20,2022-12-18,14817,900,13917,64,13,11,0.9527,0.5312,0.0
NN-strength,NN,CV,1938,1930-07-13,1934-06-10,1938-06-04,1938-06-19,35,35,0,18,8,6,1.0805,0.3333,0.3333
NN-strength,NN,CV,1950,1930-07-13,1938-06-19,1950-06-24,1950-07-16,53,53,0,22,8,6,1.0652,0.5,0.3333
NN-strength,NN,CV,1954,1930-07-13,1950-07-16,1954-06-16,1954-07-04,75,75,0,26,8,6,0.9153,0.5,0.5
NN-strength,NN,CV,1958,1930-07-13,1954-07-04,1958-06-08,1958-06-29,101,101,0,35,8,6,1.1133,0.2571,0.5
NN-strength,NN,CV,1962,1930-07-13,1958-06-29,1962-05-30,1962-06-17,136,136,0,32,8,6,1.1162,0.2188,0.8
NN-strength,NN,CV,1966,1930-07-13,1962-06-17,1966-07-11,1966-07-30,168,168,0,32,8,6,1.1153,0.3125,0.4
NN-strength,NN,CV,1970,1930-07-13,1966-07-30,1970-05-31,1970-06-21,200,200,0,32,8,6,0.9345,0.4688,0.8
NN-strength,NN,CV,1974,1930-07-13,1970-06-21,1974-06-13,1974-07-07,232,232,0,38,8,6,0.9559,0.5,0.5
NN-strength,NN,CV,1978,1930-07-13,1974-07-07,1978-06-01,1978-06-25,270,270,0,38,8,6,1.0993,0.3158,0.4444
NN-strength,NN,CV,1982,1930-07-13,1978-06-25,1982-06-13,1982-07-11,308,308,0,52,8,6,1.0944,0.3077,1.0
NN-strength,NN,CV,1986,1930-07-13,1982-07-11,1986-05-31,1986-06-29,360,360,0,52,8,6,0.913,0.4423,0.8182
NN-strength,NN,CV,1990,1930-07-13,1990-06-07,1990-06-08,1990-07-08,547,412,135,52,8,6,0.9167,0.4808,0.25
NN-strength,NN,CV,1994,1930-07-13,1994-06-12,1994-06-17,1994-07-17,1477,464,1013,52,8,6,0.9289,0.5385,0.375
NN-strength,NN,CV,1998,1930-07-13,1998-06-07,1998-06-10,1998-07-12,2509,516,1993,64,8,6,0.8747,0.5625,0.0
NN-strength,NN,CV,2002,1930-07-13,2002-05-30,2002-05-31,2002-06-30,3803,580,3223,64,8,6,0.9303,0.5156,0.2143
NN-strength,NN,CV,2006,1930-07-13,2006-06-08,2006-06-09,2006-07-09,5396,644,4752,64,8,6,0.8285,0.5781,0.0
NN-strength,NN,CV,2010,1930-07-13,2010-06-08,2010-06-11,2010-07-11,7414,708,6706,64,8,6,0.8604,0.6406,0.0714
NN-strength,NN,CV,2014,1930-07-13,2014-06-10,2014-06-12,2014-07-13,10043,772,9271,64,8,6,0.8611,0.625,0.0
NN-strength,NN,CV,2018,1930-07-13,2018-06-12,2018-06-14,2018-07-15,12551,836,11715,64,8,6,0.9002,0.5781,0.0
NN-strength,NN,Final Test,2022,1930-07-13,2021-12-31,2022-11-20,2022-12-18,14817,900,13917,64,8,6,0.936,0.5,0.0
NN-original-18,NN,CV,1938,1930-07-13,1934-06-10,1938-06-04,1938-06-19,35,35,0,18,18,18,1.0463,0.6667,0.0
NN-original-18,NN,CV,1950,1930-07-13,1938-06-19,1950-06-24,1950-07-16,53,53,0,22,18,18,1.0251,0.5455,0.0
NN-original-18,NN,CV,1954,1930-07-13,1950-07-16,1954-06-16,1954-07-04,75,75,0,26,18,18,1.0231,0.4231,0.0
NN-original-18,NN,CV,1958,1930-07-13,1954-07-04,1958-06-08,1958-06-29,101,101,0,35,18,18,1.101,0.3143,0.0
NN-original-18,NN,CV,1962,1930-07-13,1958-06-29,1962-05-30,1962-06-17,136,136,0,32,18,18,1.0481,0.5625,0.0
NN-original-18,NN,CV,1966,1930-07-13,1962-06-17,1966-07-11,1966-07-30,168,168,0,32,18,18,1.0535,0.4688,0.0
NN-original-18,NN,CV,1970,1930-07-13,1966-07-30,1970-05-31,1970-06-21,200,200,0,32,18,18,1.0445,0.4688,0.0
NN-original-18,NN,CV,1974,1930-07-13,1970-06-21,1974-06-13,1974-07-07,232,232,0,38,18,18,0.869,0.4737,0.4
NN-original-18,NN,CV,1978,1930-07-13,1974-07-07,1978-06-01,1978-06-25,270,270,0,38,18,18,1.0892,0.3684,0.0
NN-original-18,NN,CV,1982,1930-07-13,1978-06-25,1982-06-13,1982-07-11,308,308,0,52,18,18,1.0758,0.4808,0.25
NN-original-18,NN,CV,1986,1930-07-13,1982-07-11,1986-05-31,1986-06-29,360,360,0,52,18,18,0.8854,0.5,0.4545
NN-original-18,NN,CV,1990,1930-07-13,1990-06-07,1990-06-08,1990-07-08,547,412,135,52,18,18,0.9477,0.4808,0.0
NN-original-18,NN,CV,1994,1930-07-13,1994-06-12,1994-06-17,1994-07-17,1477,464,1013,52,18,18,0.9467,0.5,0.125
NN-original-18,NN,CV,1998,1930-07-13,1998-06-07,1998-06-10,1998-07-12,2509,516,1993,64,18,18,0.8982,0.5469,0.0
NN-original-18,NN,CV,2002,1930-07-13,2002-05-30,2002-05-31,2002-06-30,3803,580,3223,64,18,18,0.9296,0.4531,0.5714
NN-original-18,NN,CV,2006,1930-07-13,2006-06-08,2006-06-09,2006-07-09,5396,644,4752,64,18,18,0.7934,0.625,0.0
NN-original-18,NN,CV,2010,1930-07-13,2010-06-08,2010-06-11,2010-07-11,7414,708,6706,64,18,18,0.8524,0.6406,0.3571
NN-original-18,NN,CV,2014,1930-07-13,2014-06-10,2014-06-12,2014-07-13,10043,772,9271,64,18,18,0.8276,0.6406,0.2222
NN-original-18,NN,CV,2018,1930-07-13,2018-06-12,2018-06-14,2018-07-15,12551,836,11715,64,18,18,0.8915,0.5938,0.0
NN-original-18,NN,Final Test,2022,1930-07-13,2021-12-31,2022-11-20,2022-12-18,14817,900,13917,64,18,18,0.9321,0.5156,0.0
NN-full-regularized,NN,CV,1938,1930-07-13,1934-06-10,1938-06-04,1938-06-19,35,35,0,18,55,18,1.0778,0.3889,0.3333
NN-full-regularized,NN,CV,1950,1930-07-13,1938-06-19,1950-06-24,1950-07-16,53,53,0,22,55,18,1.0051,0.5,0.0
NN-full-regularized,NN,CV,1954,1930-07-13,1950-07-16,1954-06-16,1954-07-04,75,75,0,26,55,18,0.8167,0.6538,0.5
NN-full-regularized,NN,CV,1958,1930-07-13,1954-07-04,1958-06-08,1958-06-29,101,101,0,35,55,18,1.0589,0.4,0.0
NN-full-regularized,NN,CV,1962,1930-07-13,1958-06-29,1962-05-30,1962-06-17,136,136,0,32,55,18,1.0757,0.4375,0.6
NN-full-regularized,NN,CV,1966,1930-07-13,1962-06-17,1966-07-11,1966-07-30,168,168,0,32,55,18,1.048,0.4375,0.4
NN-full-regularized,NN,CV,1970,1930-07-13,1966-07-30,1970-05-31,1970-06-21,200,200,0,32,55,18,1.0931,0.25,0.8
NN-full-regularized,NN,CV,1974,1930-07-13,1970-06-21,1974-06-13,1974-07-07,232,232,0,38,55,18,0.9756,0.4474,0.4
NN-full-regularized,NN,CV,1978,1930-07-13,1974-07-07,1978-06-01,1978-06-25,270,270,0,38,55,18,1.1199,0.2368,0.6667
NN-full-regularized,NN,CV,1982,1930-07-13,1978-06-25,1982-06-13,1982-07-11,308,308,0,52,55,18,1.0821,0.3846,1.0
NN-full-regularized,NN,CV,1986,1930-07-13,1982-07-11,1986-05-31,1986-06-29,360,360,0,52,55,18,0.9056,0.4808,0.5455
NN-full-regularized,NN,CV,1990,1930-07-13,1990-06-07,1990-06-08,1990-07-08,547,412,135,52,55,18,0.8871,0.5769,0.375
NN-full-regularized,NN,CV,1994,1930-07-13,1994-06-12,1994-06-17,1994-07-17,1477,464,1013,52,55,18,0.9191,0.5962,0.375
NN-full-regularized,NN,CV,1998,1930-07-13,1998-06-07,1998-06-10,1998-07-12,2509,516,1993,64,55,18,0.8907,0.5312,0.1875
NN-full-regularized,NN,CV,2002,1930-07-13,2002-05-30,2002-05-31,2002-06-30,3803,580,3223,64,55,18,0.9217,0.5156,0.4286
NN-full-regularized,NN,CV,2006,1930-07-13,2006-06-08,2006-06-09,2006-07-09,5396,644,4752,64,55,18,0.8457,0.5625,0.0909
NN-full-regularized,NN,CV,2010,1930-07-13,2010-06-08,2010-06-11,2010-07-11,7414,708,6706,64,55,18,0.8453,0.5938,0.1429
NN-full-regularized,NN,CV,2014,1930-07-13,2014-06-10,2014-06-12,2014-07-13,10043,772,9271,64,55,18,0.8473,0.5938,0.2222
NN-full-regularized,NN,CV,2018,1930-07-13,2018-06-12,2018-06-14,2018-07-15,12551,836,11715,64,55,18,0.8825,0.5938,0.0
NN-full-regularized,NN,Final Test,2022,1930-07-13,2021-12-31,2022-11-20,2022-12-18,14817,900,13917,64,55,18,0.933,0.5312,0.0
NN-expanded-no-underdog,NN,CV,1938,1930-07-13,1934-06-10,1938-06-04,1938-06-19,35,35,0,18,53,16,1.0583,0.5,0.0
NN-expanded-no-underdog,NN,CV,1950,1930-07-13,1938-06-19,1950-06-24,1950-07-16,53,53,0,22,53,16,1.0332,0.5909,0.0
NN-expanded-no-underdog,NN,CV,1954,1930-07-13,1950-07-16,1954-06-16,1954-07-04,75,75,0,26,53,16,0.9876,0.5385,0.5
NN-expanded-no-underdog,NN,CV,1958,1930-07-13,1954-07-04,1958-06-08,1958-06-29,101,101,0,35,53,16,1.0692,0.3429,0.1
NN-expanded-no-underdog,NN,CV,1962,1930-07-13,1958-06-29,1962-05-30,1962-06-17,136,136,0,32,53,16,1.0719,0.4062,0.0
NN-expanded-no-underdog,NN,CV,1966,1930-07-13,1962-06-17,1966-07-11,1966-07-30,168,168,0,32,53,16,1.0163,0.375,0.4
NN-expanded-no-underdog,NN,CV,1970,1930-07-13,1966-07-30,1970-05-31,1970-06-21,200,200,0,32,53,16,1.0474,0.5938,0.0
NN-expanded-no-underdog,NN,CV,1974,1930-07-13,1970-06-21,1974-06-13,1974-07-07,232,232,0,38,53,16,0.9649,0.3947,0.3
NN-expanded-no-underdog,NN,CV,1978,1930-07-13,1974-07-07,1978-06-01,1978-06-25,270,270,0,38,53,16,1.0651,0.4737,0.0
NN-expanded-no-underdog,NN,CV,1982,1930-07-13,1978-06-25,1982-06-13,1982-07-11,308,308,0,52,53,16,1.0738,0.4808,0.0
NN-expanded-no-underdog,NN,CV,1986,1930-07-13,1982-07-11,1986-05-31,1986-06-29,360,360,0,52,53,16,0.8797,0.5577,0.5455
NN-expanded-no-underdog,NN,CV,1990,1930-07-13,1990-06-07,1990-06-08,1990-07-08,547,412,135,52,53,16,0.9401,0.5769,0.0
NN-expanded-no-underdog,NN,CV,1994,1930-07-13,1994-06-12,1994-06-17,1994-07-17,1477,464,1013,52,53,16,0.913,0.5577,0.0
NN-expanded-no-underdog,NN,CV,1998,1930-07-13,1998-06-07,1998-06-10,1998-07-12,2509,516,1993,64,53,16,0.902,0.5312,0.25
NN-expanded-no-underdog,NN,CV,2002,1930-07-13,2002-05-30,2002-05-31,2002-06-30,3803,580,3223,64,53,16,0.9189,0.5,0.4286
NN-expanded-no-underdog,NN,CV,2006,1930-07-13,2006-06-08,2006-06-09,2006-07-09,5396,644,4752,64,53,16,0.8288,0.6406,0.1818
NN-expanded-no-underdog,NN,CV,2010,1930-07-13,2010-06-08,2010-06-11,2010-07-11,7414,708,6706,64,53,16,0.8353,0.625,0.2143
NN-expanded-no-underdog,NN,CV,2014,1930-07-13,2014-06-10,2014-06-12,2014-07-13,10043,772,9271,64,53,16,0.8371,0.5938,0.2222
NN-expanded-no-underdog,NN,CV,2018,1930-07-13,2018-06-12,2018-06-14,2018-07-15,12551,836,11715,64,53,16,0.8841,0.5781,0.0
NN-expanded-no-underdog,NN,Final Test,2022,1930-07-13,2021-12-31,2022-11-20,2022-12-18,14817,900,13917,64,53,16,0.9363,0.6094,0.3
NN-recent-no-elo,NN,CV,1938,1930-07-13,1934-06-10,1938-06-04,1938-06-19,35,35,0,18,28,10,1.087,0.4444,0.0
NN-recent-no-elo,NN,CV,1950,1930-07-13,1938-06-19,1950-06-24,1950-07-16,53,53,0,22,28,10,1.072,0.3182,0.3333
NN-recent-no-elo,NN,CV,1954,1930-07-13,1950-07-16,1954-06-16,1954-07-04,75,75,0,26,28,10,0.9455,0.5769,0.0
NN-recent-no-elo,NN,CV,1958,1930-07-13,1954-07-04,1958-06-08,1958-06-29,101,101,0,35,28,10,0.9962,0.3714,0.1
NN-recent-no-elo,NN,CV,1962,1930-07-13,1958-06-29,1962-05-30,1962-06-17,136,136,0,32,28,10,1.0715,0.5,0.0
NN-recent-no-elo,NN,CV,1966,1930-07-13,1962-06-17,1966-07-11,1966-07-30,168,168,0,32,28,10,1.0572,0.5938,0.2
NN-recent-no-elo,NN,CV,1970,1930-07-13,1966-07-30,1970-05-31,1970-06-21,200,200,0,32,28,10,1.0761,0.4062,0.2
NN-recent-no-elo,NN,CV,1974,1930-07-13,1970-06-21,1974-06-13,1974-07-07,232,232,0,38,28,10,0.9655,0.4211,0.4
NN-recent-no-elo,NN,CV,1978,1930-07-13,1974-07-07,1978-06-01,1978-06-25,270,270,0,38,28,10,1.0836,0.4737,0.1111
NN-recent-no-elo,NN,CV,1982,1930-07-13,1978-06-25,1982-06-13,1982-07-11,308,308,0,52,28,10,1.092,0.25,0.375
NN-recent-no-elo,NN,CV,1986,1930-07-13,1982-07-11,1986-05-31,1986-06-29,360,360,0,52,28,10,0.932,0.4615,0.8182
NN-recent-no-elo,NN,CV,1990,1930-07-13,1990-06-07,1990-06-08,1990-07-08,547,412,135,52,28,10,0.9745,0.3462,0.0
NN-recent-no-elo,NN,CV,1994,1930-07-13,1994-06-12,1994-06-17,1994-07-17,1477,464,1013,52,28,10,0.9496,0.4615,0.125
NN-recent-no-elo,NN,CV,1998,1930-07-13,1998-06-07,1998-06-10,1998-07-12,2509,516,1993,64,28,10,0.9463,0.5469,0.0
NN-recent-no-elo,NN,CV,2002,1930-07-13,2002-05-30,2002-05-31,2002-06-30,3803,580,3223,64,28,10,0.9537,0.4062,0.3571
NN-recent-no-elo,NN,CV,2006,1930-07-13,2006-06-08,2006-06-09,2006-07-09,5396,644,4752,64,28,10,0.9111,0.625,0.0909
NN-recent-no-elo,NN,CV,2010,1930-07-13,2010-06-08,2010-06-11,2010-07-11,7414,708,6706,64,28,10,0.8906,0.625,0.5
NN-recent-no-elo,NN,CV,2014,1930-07-13,2014-06-10,2014-06-12,2014-07-13,10043,772,9271,64,28,10,0.8893,0.5938,0.0
NN-recent-no-elo,NN,CV,2018,1930-07-13,2018-06-12,2018-06-14,2018-07-15,12551,836,11715,64,28,10,0.9277,0.5312,0.0
NN-recent-no-elo,NN,Final Test,2022,1930-07-13,2021-12-31,2022-11-20,2022-12-18,14817,900,13917,64,28,10,0.9418,0.5,0.0
Validation-tuned family ensemble,Ensemble,CV,1938,1930-07-13,1934-06-10,1938-06-04,1938-06-19,35,35,0,18,70,18,1.0186,0.5,0.0
Validation-tuned family ensemble,Ensemble,CV,1950,1930-07-13,1938-06-19,1950-06-24,1950-07-16,53,53,0,22,70,18,0.9221,0.5909,0.0
Validation-tuned family ensemble,Ensemble,CV,1954,1930-07-13,1950-07-16,1954-06-16,1954-07-04,75,75,0,26,70,18,0.8794,0.5385,0.0
Validation-tuned family ensemble,Ensemble,CV,1958,1930-07-13,1954-07-04,1958-06-08,1958-06-29,101,101,0,35,70,18,1.1159,0.4857,0.0
Validation-tuned family ensemble,Ensemble,CV,1962,1930-07-13,1958-06-29,1962-05-30,1962-06-17,136,136,0,32,70,18,1.013,0.5312,0.0
Validation-tuned family ensemble,Ensemble,CV,1966,1930-07-13,1962-06-17,1966-07-11,1966-07-30,168,168,0,32,70,18,0.9624,0.6562,0.0
Validation-tuned family ensemble,Ensemble,CV,1970,1930-07-13,1966-07-30,1970-05-31,1970-06-21,200,200,0,32,70,18,0.989,0.5625,0.0
Validation-tuned family ensemble,Ensemble,CV,1974,1930-07-13,1970-06-21,1974-06-13,1974-07-07,232,232,0,38,70,18,0.9679,0.5526,0.1
Validation-tuned family ensemble,Ensemble,CV,1978,1930-07-13,1974-07-07,1978-06-01,1978-06-25,270,270,0,38,70,18,1.0846,0.4737,0.0
Validation-tuned family ensemble,Ensemble,CV,1982,1930-07-13,1978-06-25,1982-06-13,1982-07-11,308,308,0,52,70,18,1.0218,0.4808,0.0
Validation-tuned family ensemble,Ensemble,CV,1986,1930-07-13,1982-07-11,1986-05-31,1986-06-29,360,360,0,52,70,18,0.9055,0.5,0.0
Validation-tuned family ensemble,Ensemble,CV,1990,1930-07-13,1990-06-07,1990-06-08,1990-07-08,547,412,135,52,70,18,0.8819,0.5962,0.25
Validation-tuned family ensemble,Ensemble,CV,1994,1930-07-13,1994-06-12,1994-06-17,1994-07-17,1477,464,1013,52,70,18,0.9022,0.5192,0.0
Validation-tuned family ensemble,Ensemble,CV,1998,1930-07-13,1998-06-07,1998-06-10,1998-07-12,2509,516,1993,64,70,18,0.878,0.5469,0.0
Validation-tuned family ensemble,Ensemble,CV,2002,1930-07-13,2002-05-30,2002-05-31,2002-06-30,3803,580,3223,64,70,18,0.9102,0.4844,0.0
Validation-tuned family ensemble,Ensemble,CV,2006,1930-07-13,2006-06-08,2006-06-09,2006-07-09,5396,644,4752,64,70,18,0.7974,0.6562,0.0
Validation-tuned family ensemble,Ensemble,CV,2010,1930-07-13,2010-06-08,2010-06-11,2010-07-11,7414,708,6706,64,70,18,0.853,0.5625,0.0
Validation-tuned family ensemble,Ensemble,CV,2014,1930-07-13,2014-06-10,2014-06-12,2014-07-13,10043,772,9271,64,70,18,0.8184,0.7031,0.0
Validation-tuned family ensemble,Ensemble,CV,2018,1930-07-13,2018-06-12,2018-06-14,2018-07-15,12551,836,11715,64,70,18,0.8631,0.6094,0.0
Validation-tuned family ensemble,Ensemble,Final Test,2022,1930-07-13,2021-12-31,2022-11-20,2022-12-18,14817,900,13917,64,70,18,0.9343,0.5469,0.0
